
=== 期末TB(12-11) (ALL rows) ===
  帳票名 | None | None | bal=None
  [合計行] | [貸借対照表] | 固定負債合計 | bal=21322322885
  [合計行] | [貸借対照表] | 負債合計 | bal=30823609275
  [区分行] | [貸借対照表] | [資本金] | bal=None
  [明細行] | [貸借対照表] | 資本金 | bal=30000000
  [合計行] | [貸借対照表] | 資本金合計 | bal=30000000
  [区分行] | [貸借対照表] | [新株式申込証拠金] | bal=None
  [合計行] | [貸借対照表] | 新株式申込証拠金合計 | bal=0
  [区分行] | [貸借対照表] | [資本剰余金] | bal=None
  [合計行] | [貸借対照表] | 資本準備金合計 | bal=0
  [合計行] | [貸借対照表] | その他資本剰余金合計 | bal=0
  [合計行] | [貸借対照表] | 資本剰余金合計 | bal=0
  [区分行] | [貸借対照表] | [利益剰余金] | bal=None
  [合計行] | [貸借対照表] | 利益準備金合計 | bal=0
  [合計行] | [貸借対照表] | 任意積立金合計 | bal=0
  [明細行] | [貸借対照表] | 繰越利益 | bal=3875977999
  [合計行] | [貸借対照表] | 当期純損益金額 | bal=1996033120
  [合計行] | [貸借対照表] | 繰越利益剰余金合計 | bal=5872011119
  [合計行] | [貸借対照表] | その他利益剰余金合計 | bal=5872011119
  [合計行] | [貸借対照表] | 利益剰余金合計 | bal=5872011119
  [区分行] | [貸借対照表] | [自己株式] | bal=None
  [合計行] | [貸借対照表] | 自己株式合計 | bal=0
  [区分行] | [貸借対照表] | [自己株式申込証拠金] | bal=None
  [合計行] | [貸借対照表] | 自己株式申込証拠金合計 | bal=0
  [合計行] | [貸借対照表] | 株主資本合計 | bal=5902011119
  [区分行] | [貸借対照表] | [評価･換算差額等] | bal=None
  [合計行] | [貸借対照表] | 評価･換算差額等合計 | bal=0
  [区分行] | [貸借対照表] | [新株予約権] | bal=None
  [合計行] | [貸借対照表] | 新株予約権合計 | bal=0
  [合計行] | [貸借対照表] | 純資産合計 | bal=5902011119
  [合計行] | [貸借対照表] | 負債･純資産合計 | bal=36725620394
  [区分行] | [損益計算書] | [売上高] | bal=None
  [明細行] | [損益計算書] | 土地売上高 | bal=13170966035
  [明細行] | [損益計算書] | 建物売上高 | bal=10710947761
  [明細行] | [損益計算書] | 賃貸収入 | bal=1267658636
  [明細行] | [損益計算書] | その他工事収入(請負工事) | bal=2193779308
  [明細行] | [損益計算書] | 役務収入 | bal=4864770
  [明細行] | [損益計算書] | 礼金収入高 | bal=5326500
  [明細行] | [損益計算書] | 売上高 | bal=17109091
  [合計行] | [損益計算書] | 売上高合計 | bal=27370652101
  [区分行] | [損益計算書] | [売上原価] | bal=None
  [合計行] | [損益計算書] | 期首商品棚卸高 | bal=0
  [明細行] | [損益計算書] | 土地仕入高 | bal=8259885592
  [明細行] | [損益計算書] | 建物仕入高 | bal=9396758044
  [明細行] | [損益計算書] | 共通仕入 | bal=212857601
  [明細行] | [損益計算書] | その他仕入高 | bal=685505
  [明細行] | [損益計算書] | 建築請負 仕入高 | bal=2272787292
  [明細行] | [損益計算書] | ★仕入高 | bal=0
  [合計行] | [損益計算書] | 当期商品仕入高 | bal=20142974034
  [合計行] | [損益計算書] | 合計 | bal=20142974034
  [合計行] | [損益計算書] | 期末商品棚卸高 | bal=0
  [合計行] | [損益計算書] | 売上原価 | bal=20142974034
  [合計行] | [損益計算書] | 売上総損益金額 | bal=7227678067
  [区分行] | [損益計算書] | [販売管理費] | bal=None
  [明細行] | [損益計算書] | ★居住用賃貸消費税制限 | bal=0
  [明細行] | [損益計算書] | 役員報酬 | bal=11610000
  [明細行] | [損益計算書] | 給料手当 | bal=391679141
  [明細行] | [損益計算書] | 賞与 | bal=77690000
  [明細行] | [損益計算書] | 法定福利費 | bal=59327271
  [明細行] | [損益計算書] | 福利厚生費 | bal=36768503
  [明細行] | [損益計算書] | 採用教育費 | bal=157524375
  [明細行] | [損益計算書] | 外注費 | bal=135856570
  [明細行] | [損益計算書] | 賃貸管理費 | bal=155786743
  [明細行] | [損益計算書] | 荷造運賃 | bal=952220
  [明細行] | [損益計算書] | 広告宣伝費 | bal=71465994
  [明細行] | [損益計算書] | 交際費 | bal=171569458
  [明細行] | [損益計算書] | 会議費 | bal=10249009
  [明細行] | [損益計算書] | 旅費交通費 | bal=36836535
  [明細行] | [損益計算書] | 通信費 | bal=22655101
  [明細行] | [損益計算書] | 販売手数料 | bal=450519897
  [明細行] | [損益計算書] | 消耗品費 | bal=20623674
  [明細行] | [損益計算書] | 事務用品費 | bal=15567024
  [明細行] | [損益計算書] | 修繕費 | bal=28085512
  [明細行] | [損益計算書] | 水道光熱費 | bal=84047871
  [明細行] | [損益計算書] | 新聞図書費 | bal=208407
  [明細行] | [損益計算書] | 諸会費 | bal=1014400
  [明細行] | [損益計算書] | 支払手数料 | bal=540388063
  [明細行] | [損益計算書] | 地代家賃 | bal=56995630
  [明細行] | [損益計算書] | ﾘｰｽ料 | bal=12107730
  [明細行] | [損益計算書] | 保険料 | bal=29598832
  [明細行] | [損益計算書] | 租税公課 | bal=535357621
  [明細行] | [損益計算書] | 支払報酬料 | bal=41354484
  [明細行] | [損益計算書] | 寄付金 | bal=2100000
  [明細行] | [損益計算書] | 減価償却費 | bal=183987518
  [明細行] | [損益計算書] | 長期前払費用償却 | bal=1083301
  [明細行] | [損益計算書] | 繰延消費税等償却 | bal=35152506
  [明細行] | [損益計算書] | 調査費 | bal=3071201
  [合計行] | [損益計算書] | 販売管理費計 | bal=3381234591
  [合計行] | [損益計算書] | 営業損益金額 | bal=3846443476
  [区分行] | [損益計算書] | [営業外収益] | bal=None
  [明細行] | [損益計算書] | 受取利息 | bal=6526262
  [明細行] | [損益計算書] | 受取配当金 | bal=1378270
  [明細行] | [損益計算書] | 雑収入 | bal=1027488
  [合計行] | [損益計算書] | 営業外収益合計 | bal=8932020
  [区分行] | [損益計算書] | [営業外費用] | bal=None
  [明細行] | [損益計算書] | 支払利息 | bal=651124763
  [明細行] | [損益計算書] | 雑損失 | bal=132466138
  [合計行] | [損益計算書] | 営業外費用合計 | bal=783590901
  [合計行] | [損益計算書] | 経常損益金額 | bal=3071784595
  [区分行] | [損益計算書] | [特別利益] | bal=None
  [明細行] | [損益計算書] | 固定資産売却益 | bal=167005
  [合計行] | [損益計算書] | 特別利益合計 | bal=167005
  [区分行] | [損益計算書] | [特別損失] | bal=None
  [明細行] | [損益計算書] | 固定資産除却損 | bal=1
  [合計行] | [損益計算書] | 特別損失合計 | bal=1
  [区分行] | [損益計算書] | [当期純損益] | bal=None
  [合計行] | [損益計算書] | 税引前当期純損益金額 | bal=3071951599
  [明細行] | [損益計算書] | 法人税･住民税及び事業税 | bal=1075918479
  [合計行] | [損益計算書] | 当期純損益金額 | bal=1996033120

=== 期末TB(12) (ALL rows) ===
  帳票名 | None | None | bal=None
  書式名 | None | None | bal=None
  事業所名 | None | None | bal=None
  処理日時 | 11:40:52 | None | bal=None
  月次/期間 | None | None | bal=None
  集計期間 | 46022 | 決算仕訳を含む | bal=None
  税抜/税込 | None | None | bal=None
  [表題行] | 分類 | 勘定科目 | bal=当期残高
  [区分行] | [貸借対照表] | [現金･預金] | bal=None
  [明細行] | [貸借対照表] | 現金 | bal=2794949
  [明細行] | [貸借対照表] | 普通預金 | bal=3646808862
  [明細行] | [貸借対照表] | 定期預金 | bal=476114498
  [明細行] | [貸借対照表] | 定期積金 | bal=102558932
  [明細行] | [貸借対照表] | 返済準備金留保口座 | bal=8622197
  [合計行] | [貸借対照表] | 現金･預金合計 | bal=4236899438
  [区分行] | [貸借対照表] | [売上債権] | bal=None
  [合計行] | [貸借対照表] | 売上債権合計 | bal=0
  [区分行] | [貸借対照表] | [有価証券] | bal=None
  [合計行] | [貸借対照表] | 有価証券合計 | bal=0
  [区分行] | [貸借対照表] | [棚卸資産] | bal=None
  [明細行] | [貸借対照表] | 販売用不動産 | bal=164827182
  [明細行] | [貸借対照表] | 仕掛販売用不動産 | bal=19574970837
  [明細行] | [貸借対照表] | 未成工事支出金 | bal=140931180
  [明細行] | [貸借対照表] | 販売用不動産(収益) | bal=9824459932
  [合計行] | [貸借対照表] | 棚卸資産合計 | bal=29705189131
  [区分行] | [貸借対照表] | [他流動資産] | bal=None
  [明細行] | [貸借対照表] | 短期貸付金 | bal=1909700000
  [明細行] | [貸借対照表] | 前渡金 | bal=130123500
  [明細行] | [貸借対照表] | 前払費用 | bal=128191169
  [明細行] | [貸借対照表] | 立替金 | bal=174427
  [明細行] | [貸借対照表] | 未収収益 | bal=7155770
  [明細行] | [貸借対照表] | 未収入金 | bal=16768024
  [明細行] | [貸借対照表] | 仮払消費税 | bal=89700113
  [明細行] | [貸借対照表] | 完成工事未収入金 | bal=237850000
  [合計行] | [貸借対照表] | 他流動資産合計 | bal=2519663003
  [合計行] | [貸借対照表] | 流動資産合計 | bal=36461751572
  [区分行] | [貸借対照表] | [有形固定資産] | bal=None
  [明細行] | [貸借対照表] | 建物 | bal=1218777666
  [明細行] | [貸借対照表] | 附属設備 | bal=132716297
  [明細行] | [貸借対照表] | 構築物 | bal=1553576
  [明細行] | [貸借対照表] | 車両運搬具 | bal=5
  [明細行] | [貸借対照表] | 工具器具備品 | bal=34468214
  [明細行] | [貸借対照表] | 土地 | bal=1834402478
  [合計行] | [貸借対照表] | 有形固定資産計 | bal=3221918236
  [区分行] | [貸借対照表] | [無形固定資産] | bal=None
  [明細行] | [貸借対照表] | ソフトウェア | bal=2401245
  [合計行] | [貸借対照表] | 無形固定資産計 | bal=2401245
  [区分行] | [貸借対照表] | [投資その他の資産] | bal=None
  [明細行] | [貸借対照表] | 出資金 | bal=121632000
  [明細行] | [貸借対照表] | 差入保証金 | bal=90496240
  [明細行] | [貸借対照表] | 長期貸付金 | bal=295540000
  [明細行] | [貸借対照表] | 長期前払費用 | bal=1857200
  [明細行] | [貸借対照表] | 保険積立金 | bal=76668179
  [明細行] | [貸借対照表] | ﾘｻｲｸﾙ預託金 | bal=52000
  [明細行] | [貸借対照表] | ｺﾞﾙﾌ会員権 | bal=3790000
  [明細行] | [貸借対照表] | 繰延消費税額等 | bal=185889369
  [合計行] | [貸借対照表] | 投資その他の資産合計 | bal=775924988
  [合計行] | [貸借対照表] | 固定資産合計 | bal=4000244469
  [区分行] | [貸借対照表] | [繰延資産] | bal=None
  [合計行] | [貸借対照表] | 繰延資産合計 | bal=0
  [区分行] | [貸借対照表] | [諸口] | bal=None
  [合計行] | [貸借対照表] | 資産合計 | bal=40461996041
  [区分行] | [貸借対照表] | [仕入債務] | bal=None
  [合計行] | [貸借対照表] | 仕入債務合計 | bal=0
  [区分行] | [貸借対照表] | [他流動負債] | bal=None
  [明細行] | [貸借対照表] | 短期借入金 | bal=7084921000
  [明細行] | [貸借対照表] | 仮受金 | bal=8211582
  [明細行] | [貸借対照表] | 前受金 | bal=27500000
  [明細行] | [貸借対照表] | 未成工事受入金 | bal=327550000
  [明細行] | [貸借対照表] | 前受収益 | bal=21706633
  [明細行] | [貸借対照表] | 未払金 | bal=928193871
  [明細行] | [貸借対照表] | 未払費用 | bal=1606104
  [明細行] | [貸借対照表] | 未払法人税等 | bal=1065099400
  [明細行] | [貸借対照表] | 未払消費税等 | bal=220068600
  [明細行] | [貸借対照表] | 預り金 | bal=14859454
  [明細行] | [貸借対照表] | 仮受消費税 | bal=43840875
  [合計行] | [貸借対照表] | 他流動負債合計 | bal=9743557519
  [合計行] | [貸借対照表] | 流動負債合計 | bal=9743557519
  [区分行] | [貸借対照表] | [固定負債] | bal=None
  [明細行] | [貸借対照表] | 長期借入金 | bal=24204844320
  [明細行] | [貸借対照表] | 社債 | bal=64000000
  [明細行] | [貸借対照表] | 預り保証金 | bal=278775400
  [明細行] | [貸借対照表] | 資本性借入金 | bal=250000000
  [合計行] | [貸借対照表] | 固定負債合計 | bal=24797619720
  [合計行] | [貸借対照表] | 負債合計 | bal=34541177239
  [区分行] | [貸借対照表] | [資本金] | bal=None
  [明細行] | [貸借対照表] | 資本金 | bal=30000000
  [合計行] | [貸借対照表] | 資本金合計 | bal=30000000
  [区分行] | [貸借対照表] | [新株式申込証拠金] | bal=None
  [合計行] | [貸借対照表] | 新株式申込証拠金合計 | bal=0
  [区分行] | [貸借対照表] | [資本剰余金] | bal=None
  [合計行] | [貸借対照表] | 資本準備金合計 | bal=0
  [合計行] | [貸借対照表] | その他資本剰余金合計 | bal=0
  [合計行] | [貸借対照表] | 資本剰余金合計 | bal=0
  [区分行] | [貸借対照表] | [利益剰余金] | bal=None
  [合計行] | [貸借対照表] | 利益準備金合計 | bal=0
  [合計行] | [貸借対照表] | 任意積立金合計 | bal=0
  [明細行] | [貸借対照表] | 繰越利益 | bal=5872011119
  [合計行] | [貸借対照表] | 当期純損益金額 | bal=18807683
  [合計行] | [貸借対照表] | 繰越利益剰余金合計 | bal=5890818802
  [合計行] | [貸借対照表] | その他利益剰余金合計 | bal=5890818802
  [合計行] | [貸借対照表] | 利益剰余金合計 | bal=5890818802
  [区分行] | [貸借対照表] | [自己株式] | bal=None
  [合計行] | [貸借対照表] | 自己株式合計 | bal=0
  [区分行] | [貸借対照表] | [自己株式申込証拠金] | bal=None
  [合計行] | [貸借対照表] | 自己株式申込証拠金合計 | bal=0
  [合計行] | [貸借対照表] | 株主資本合計 | bal=5920818802
  [区分行] | [貸借対照表] | [評価･換算差額等] | bal=None
  [合計行] | [貸借対照表] | 評価･換算差額等合計 | bal=0
  [区分行] | [貸借対照表] | [新株予約権] | bal=None
  [合計行] | [貸借対照表] | 新株予約権合計 | bal=0
  [合計行] | [貸借対照表] | 純資産合計 | bal=5920818802
  [合計行] | [貸借対照表] | 負債･純資産合計 | bal=40461996041
  [区分行] | [損益計算書] | [売上高] | bal=None
  [明細行] | [損益計算書] | 土地売上高 | bal=650926121
  [明細行] | [損益計算書] | 建物売上高 | bal=135000000
  [明細行] | [損益計算書] | 賃貸収入 | bal=110728320
  [明細行] | [損益計算書] | その他工事収入(請負工事) | bal=261404356
  [明細行] | [損益計算書] | 役務収入 | bal=3635587
  [明細行] | [損益計算書] | 礼金収入高 | bal=334000
  [合計行] | [損益計算書] | 売上高合計 | bal=1162028384
  [区分行] | [損益計算書] | [売上原価] | bal=None
  [合計行] | [損益計算書] | 期首商品棚卸高 | bal=0
  [明細行] | [損益計算書] | 土地仕入高 | bal=457128405
  [明細行] | [損益計算書] | 建物仕入高 | bal=137952779
  [明細行] | [損益計算書] | 共通仕入 | bal=13897639
  [明細行] | [損益計算書] | その他仕入高 | bal=21788
  [明細行] | [損益計算書] | 建築請負 仕入高 | bal=138661724
  [明細行] | [損益計算書] | ★仕入高 | bal=0
  [合計行] | [損益計算書] | 当期商品仕入高 | bal=747662335
  [合計行] | [損益計算書] | 合計 | bal=747662335
  [合計行] | [損益計算書] | 期末商品棚卸高 | bal=0
  [合計行] | [損益計算書] | 売上原価 | bal=747662335
  [合計行] | [損益計算書] | 売上総損益金額 | bal=414366049
  [区分行] | [損益計算書] | [販売管理費] | bal=None
  [明細行] | [損益計算書] | ★居住用賃貸消費税制限 | bal=0
  [明細行] | [損益計算書] | 役員報酬 | bal=3330000
  [明細行] | [損益計算書] | 給料手当 | bal=38040228
  [明細行] | [損益計算書] | 賞与 | bal=39988000
  [明細行] | [損益計算書] | 法定福利費 | bal=5313920
  [明細行] | [損益計算書] | 福利厚生費 | bal=6227379
  [明細行] | [損益計算書] | 採用教育費 | bal=1477755
  [明細行] | [損益計算書] | 外注費 | bal=9482031
  [明細行] | [損益計算書] | 賃貸管理費 | bal=10936511
  [明細行] | [損益計算書] | 荷造運賃 | bal=21366
  [明細行] | [損益計算書] | 広告宣伝費 | bal=3402986
  [明細行] | [損益計算書] | 交際費 | bal=5328924
  [明細行] | [損益計算書] | 会議費 | bal=1345333
  [明細行] | [損益計算書] | 旅費交通費 | bal=4548973
  [明細行] | [損益計算書] | 通信費 | bal=1197794
  [明細行] | [損益計算書] | 販売手数料 | bal=19719000
  [明細行] | [損益計算書] | 消耗品費 | bal=3479773
  [明細行] | [損益計算書] | 事務用品費 | bal=805010
  [明細行] | [損益計算書] | 修繕費 | bal=5579071
  [明細行] | [損益計算書] | 水道光熱費 | bal=8000001
  [明細行] | [損益計算書] | 新聞図書費 | bal=5417
  [明細行] | [損益計算書] | 諸会費 | bal=25500
  [明細行] | [損益計算書] | 支払手数料 | bal=56992345
  [明細行] | [損益計算書] | 地代家賃 | bal=5631981
  [明細行] | [損益計算書] | ﾘｰｽ料 | bal=1190850
  [明細行] | [損益計算書] | 保険料 | bal=2074850
  [明細行] | [損益計算書] | 租税公課 | bal=63467335
  [明細行] | [損益計算書] | 支払報酬料 | bal=7231608
  [明細行] | [損益計算書] | 減価償却費 | bal=18730319
  [明細行] | [損益計算書] | 長期前払費用償却 | bal=24300
  [合計行] | [損益計算書] | 販売管理費計 | bal=323598560
  [合計行] | [損益計算書] | 営業損益金額 | bal=90767489
  [区分行] | [損益計算書] | [営業外収益] | bal=None
  [明細行] | [損益計算書] | 受取利息 | bal=487255
  [合計行] | [損益計算書] | 営業外収益合計 | bal=487255
  [区分行] | [損益計算書] | [営業外費用] | bal=None
  [明細行] | [損益計算書] | 支払利息 | bal=72430170
  [合計行] | [損益計算書] | 営業外費用合計 | bal=72430170
  [合計行] | [損益計算書] | 経常損益金額 | bal=18824574
  [区分行] | [損益計算書] | [特別利益] | bal=None
  [合計行] | [損益計算書] | 特別利益合計 | bal=0
  [区分行] | [損益計算書] | [特別損失] | bal=None
  [合計行] | [損益計算書] | 特別損失合計 | bal=0
  [区分行] | [損益計算書] | [当期純損益] | bal=None
  [合計行] | [損益計算書] | 税引前当期純損益金額 | bal=18824574
  [明細行] | [損益計算書] | 法人税･住民税及び事業税 | bal=16891
  [合計行] | [損益計算書] | 当期純損益金額 | bal=18807683
